"Date_ID","Lab_ID","Other_Lab_ID","Problems","CRA","Error","DC13","DC13_Error","Date_Method","Calibration_Curve","Local_Reservoir_14Cyr","Local_Reservoir_14Cyr_Error","Material","Species","Site_ID","Phase_ID","Phase_by_Excavator","Site_Context","Sample_ID","Notes"
"NoLabID-03",NULL,"KN Lab","NoLabID",5440,75,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG056","EG056-3","no","V.3",NULL,NULL
"KN-3275","KN-3275",NULL,NULL,5830,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG056","EG056-2","no",NULL,NULL,NULL
"KN-3276","KN-3276",NULL,NULL,5790,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG056","EG056-2","no","I.2",NULL,NULL
"KN-3277","KN-3277",NULL,NULL,5890,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG056","EG056-2","no","I.3",NULL,NULL
"KN-3278","KN-3278",NULL,NULL,5590,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG056","EG056-3","no","V.1",NULL,NULL
"KN-3279","KN-3279",NULL,NULL,5760,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG056","EG056-2","no","V.2",NULL,NULL
"U-10","U-10",NULL,NULL,5630,90,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charred grain",NULL,"EG056","EG056-3","no","T4, 60 cm","same sample of U-73","In Derricourt 1971 the date is reported as 5630±90 and it is reported that in Deevey 1967, 175 the date was revised from the original publication in Radiocarbon I (1959), 97 in which it was 5430±120 and 5550±100. These two dates are instead republished by Hawass et al. 1988 and Phillipps et al. 2012 who report them as respectively U-10A and U-10B"
"U-10A","U-10A",NULL,"check notes sample U-10",5430,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"seeds",NULL,"EG056","EG056-3","no","T4, 60 cm",NULL,NULL
"U-10B","U-10B",NULL,"check notes sample U-10",5550,100,NULL,NULL,NULL,"IntCal13",NULL,NULL,"seeds",NULL,"EG056","EG056-3","no","T4, 60 cm",NULL,NULL
"U-31","U-31",NULL,NULL,3630,100,"-16.8",NULL,NULL,"IntCal13",NULL,NULL,"bone apatite (animal)","Hippopotamus","EG056","EG056-6","no","T4oo, 180 cm","inorganic fraction of the sample U-32",NULL
"U-32","U-32",NULL,"check note",4690,150,"-4",NULL,NULL,"IntCal13",NULL,NULL,"bone collagen (animal)","Hippopotamus","EG056","EG056-5","no","T4o -180 cm",NULL,"In Derricourt 1971 the date is reported as 4690±150 and it is reported that in Deevey 1967, 175 the date was revised from the original publication in Olsson Radiocarbon 1, 1959: 97 in which it was 4560±140. This original date was then republished by Hassan 1985, Hawass et al. 1988 and PhillippsHoldaway.2012MidHol"
"U-6","U-6",NULL,"check note",6250,110,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG056","EG056-1","no","180 cm",NULL,"In Derricourt 1971 the date is reported as 6250±110 and it is reported that in Deevey 1967, 175 the date was revised from the original publication in Olsson Radiocarbon 1, 1959: 97, where it was 6130±110. This original date was then republished by Hawass et al. 1988 and Phillipps et al. 2012"
"U-7","U-7",NULL,"check note",5800,800,NULL,NULL,NULL,"IntCal13",NULL,NULL,"grain (charred)",NULL,"EG056",NULL,"no","R1, 180 cm",NULL,"In Derricourt 1971 the date is reported as 5800±800 and it is reported that in Deevey 1967, 175 the date was revised from the original publication in Olsson Radiocarbon 1 1959: 97 in which it was 5700±700. This original date was then republished by Hassan 1985, Hawass et al. 1988 and Phillipps et al. 2012 as 5710±700 BP"
"U-73","U-73",NULL,"check note",5770,110,NULL,NULL,NULL,"IntCal13",NULL,NULL,"grain (charred)",NULL,"EG056","EG056-2","no","T4, 60 cm","same sample of U-10","In Bevan's spreadsheet the date was 5640±100. In Derricourt 1971 the date is reported as 5770±110 and it is reported that in Deevey 1967, 175 the date was revised from the original publication in Olsson Radiocarbon 1, 1959: 97 which was 5640±100 BP. This original date was then republished by Hassan 1985, Hawass et al. 1988 and Phillipps et al. 2012. Phillipps et al. 2012 report the LabID wrongly (U-37)"
"U-8","U-8",NULL,"check note",5710,240,NULL,NULL,NULL,"IntCal13",NULL,NULL,"grain (charred)",NULL,"EG056","EG056-2","no","A18",NULL,"In Derricourt 1971 the date is reported as 5710±240 and it is reported that in Deevey 1967, 175 the date was revised from the original publication in Olsson Radiocarbon 1, 1959: 97 in which it was 5580±230. This original date was then republished by Hassan 1985, Hawass et al. 1988 and Phillipps et al. 2012"
"U-9","U-9",NULL,NULL,6085,130,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal","Tamarix","EG056","EG056-1","no","<180 cm",NULL,"In Derricourt 1971 the date is reported as 6085±130 and it is reported that in Deevey 1967, 175 the date was revised from the original publication in Radiocarbon I (1959), 97 in which it was 5970±120 and 5940±100. These dates were then republished by Hawass et al. 1988 and Phillipps et al. 2012 who report them respectively as U-9A and U-9B"
"U-9A","U-9A",NULL,"check notes sample U-9",5970,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal","Tamarix","EG056","EG056-2","no",NULL,NULL,NULL
"U-9B","U-9B",NULL,"check notes sample U-9",5940,100,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal","Tamarix","EG056","EG056-2","no",NULL,NULL,NULL
"W-4355","W-4355",NULL,NULL,5750,100,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG056","EG056-2","no","TT 2, 102 cm",NULL,NULL
"WSU-1846","WSU-1846",NULL,NULL,5260,90,NULL,NULL,NULL,"IntCal13",NULL,NULL,"seeds",NULL,"EG056","EG056-4","no","TT2, 75 cm",NULL,NULL
"U-5","U-5",NULL,NULL,3370,240,NULL,NULL,NULL,"IntCal13",NULL,NULL,"seeds (charred)",NULL,"EG055","EG055-1","unique","IIId 3, 25 cm",NULL,NULL
"Beta-2804","Beta-2804",NULL,NULL,4730,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"wood",NULL,"EG054","EG054-2","no","square CLXV A",NULL,NULL
"Beta-2805","Beta-2805",NULL,NULL,5010,50,NULL,NULL,NULL,"IntCal13",NULL,NULL,"seeds",NULL,"EG054","EG054-1","no","square CXXX A",NULL,NULL
"KN-3573","KN-3573",NULL,NULL,5050,55,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG054","EG054-1","no","square CXVIIa, 40 cm",NULL,NULL
"KN-3574","KN-3574",NULL,NULL,4940,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"seeds",NULL,"EG054","EG054-1","no","square CXCVII A in a jar",NULL,NULL
"KN-3745","KN-3745",NULL,NULL,4830,90,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)","Hippopotamus","EG054","EG054-2","no","square VIIX, 140 cm depth",NULL,NULL
"KN-3862","KN-3862",NULL,NULL,4540,140,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG054","EG054-3","no","Tomb 42",NULL,NULL
"KN-3863","KN-3863",NULL,NULL,4380,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG054","EG054-3","no","Tomb 57",NULL,NULL
"KN-3899","KN-3899",NULL,NULL,5050,65,NULL,NULL,NULL,"IntCal13",NULL,NULL,"other (unspecified)",NULL,"EG054","EG054-1","no",NULL,NULL,NULL
"KN-3910","KN-3910",NULL,NULL,4830,130,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)","Hippopotamus","EG054","EG054-2","no","square C., 60 cm depth",NULL,NULL
"R-1425","R-1425",NULL,NULL,4860,70,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG054","EG054-1","no","Lower layer",NULL,NULL
"R-1426","R-1426",NULL,NULL,4680,70,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG054","EG054-2","no","Lower layer",NULL,NULL
"R-1427","R-1427",NULL,NULL,4900,70,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG054","EG054-1","no","Lower layer",NULL,NULL
"R-1428","R-1428",NULL,NULL,4890,70,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG054","EG054-1","no","Lower layer",NULL,NULL
"Bln-5215","Bln-5215",NULL,NULL,4821,30,NULL,NULL,NULL,"IntCal13",NULL,NULL,"wood",NULL,"EG054","EG054-2","no","Steingebäude",NULL,NULL
"BM-381","BM-381",NULL,NULL,2543,70,"-26.7",NULL,"LSC","IntCal13",NULL,NULL,"plant matter","Poaceae/Cyperaceae","EG008","EG008-2","no",NULL,NULL,NULL
"KN-4009","KN-4009",NULL,NULL,3100,300,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG008","EG008-1","no",NULL,NULL,NULL
"KN-4010","KN-4010",NULL,NULL,3620,300,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG008","EG008-1","no","Buto TeF 85 S II 3 74, schicht Ia",NULL,NULL
"KN-4011","KN-4011",NULL,NULL,2990,130,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG008","EG008-1","no",NULL,NULL,NULL
"KN-4012","KN-4012",NULL,NULL,2900,400,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG008","EG008-1","no",NULL,NULL,NULL
"KN-4013","KN-4013",NULL,NULL,2810,140,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG008","EG008-1","no",NULL,NULL,NULL
"KN-4014","KN-4014",NULL,NULL,2250,130,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG008","EG008-1","no",NULL,NULL,NULL
"KN-4015","KN-4015",NULL,NULL,5230,200,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG008","EG008-1","no",NULL,NULL,NULL
"KN-4016","KN-4016",NULL,NULL,3800,600,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG008","EG008-1","no",NULL,NULL,NULL
"KN-4220","KN-4220",NULL,NULL,4380,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG008","EG008-1","no",NULL,NULL,NULL
"KN-4249","KN-4249",NULL,NULL,5720,70,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG008","EG008-1","no",NULL,NULL,NULL
"KN-4446","KN-4446",NULL,NULL,4980,400,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG008","EG008-1","no",NULL,NULL,NULL
"C-463","C-463",NULL,NULL,5256,230,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG019","EG019-2","no",NULL,NULL,NULL
"C-62","C-62",NULL,NULL,5256,230,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG019","EG019-2","no",NULL,NULL,NULL
"KN-3933","KN-3933",NULL,NULL,5690,70,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG019","EG019-1","no",NULL,NULL,NULL
"KN-3934","KN-3934",NULL,NULL,5500,65,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG019","EG019-1","no",NULL,NULL,NULL
"KN-3994","KN-3994",NULL,NULL,4790,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG019","EG019-2","no",NULL,NULL,NULL
"KN-4177","KN-4177",NULL,NULL,5740,80,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG019","EG019-1","no",NULL,NULL,NULL
"KN-4178","KN-4178",NULL,NULL,5580,70,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG019","EG019-1","no",NULL,NULL,NULL
"Beta-228941","Beta-228941",NULL,NULL,5090,40,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG075","EG075-1","no","Sais I","[8022]",NULL
"Beta-228938","Beta-228938",NULL,NULL,5260,40,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG075","EG075-1","no","Sais I","[8023]",NULL
"Beta-228940","Beta-228940",NULL,NULL,5100,50,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG075","EG075-1","no","Sais I","[8024]",NULL
"Beta-228939","Beta-228939",NULL,NULL,4970,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG075","EG075-1","no","Sais I","[8013]",NULL
"Gd-2660","Gd-2660",NULL,NULL,4680,90,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 1590","Sample 1",NULL
"Gd-4566","Gd-4566",NULL,NULL,4120,100,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charred plant remain",NULL,"EG059","EG059-2","no","Tomb 1930","From contents of ceramic vessel",NULL
"Gd-5125","Gd-5125",NULL,NULL,4520,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 1590","Sample 5",NULL
"Gd-5216","Gd-5216",NULL,NULL,4580,50,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 1590","Sample 2",NULL
"Gd-5713","Gd-5713",NULL,NULL,5240,60,"-6.1",NULL,NULL,"IntCal13",NULL,NULL,"other (animal)",NULL,"EG059","EG059-1","no","Near tomb 1930 2.5m below gezira",NULL,NULL
"Gd-6233","Gd-6233",NULL,NULL,3930,70,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 1590 from wooden construction",NULL,NULL
"Hv-9566","Hv-9566",NULL,NULL,7815,570,NULL,NULL,NULL,"IntCal13",NULL,NULL,"other (unspecified)",NULL,"EG059","EG059-1","no","Tomb 49",NULL,NULL
"Hv-9567","Hv-9567",NULL,NULL,6005,280,NULL,NULL,NULL,"IntCal13",NULL,NULL,"other (unspecified)",NULL,"EG059","EG059-1","no","Tomb 126",NULL,NULL
"KN-3606","KN-3606",NULL,NULL,4300,900,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 886",NULL,NULL
"KN-3607","KN-3607",NULL,NULL,4500,250,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 1147",NULL,NULL
"KN-3608","KN-3608",NULL,NULL,4250,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 1363",NULL,NULL
"KN-3609","KN-3609",NULL,NULL,4450,65,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (undetermined)",NULL,"EG059","EG059-1","no","Tomb 1338",NULL,NULL
"KN-3759","KN-3759",NULL,NULL,4060,140,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 1450b",NULL,NULL
"KN-3761","KN-3761",NULL,NULL,4540,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 1590","Sample 4",NULL
"KN-3762","KN-3762",NULL,NULL,4320,55,NULL,NULL,NULL,"IntCal13",NULL,NULL,"plant matter",NULL,"EG059","EG059-2","no","Tomb 1590","Sample 6",NULL
"KN-3763","KN-3763",NULL,NULL,4110,110,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 1590","Sample 8",NULL
"KN-4441","KN-4441",NULL,NULL,5080,500,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 2275",NULL,NULL
"KN-4442","KN-4442",NULL,NULL,4642,56,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 1590","Sample 3",NULL
"KN-4443","KN-4443",NULL,NULL,4750,300,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 2400",NULL,NULL
"SI-6630","SI-6630",NULL,NULL,3660,100,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 1040",NULL,NULL
"Gd-4143","Gd-4143",NULL,NULL,3070,70,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-2","no","Tomb 1450a",NULL,NULL
"KN-3061","KN-3061",NULL,NULL,4440,55,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (undetermined)",NULL,"EG059","EG059-1","no","Tomb 432",NULL,NULL
"KN-3062","KN-3062",NULL,NULL,3970,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG059","EG059-1","no","Tomb 78",NULL,NULL
"KN-3068","KN-3068",NULL,NULL,4480,150,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG059","EG059-1","no","Tomb 401",NULL,NULL
"KN-3069","KN-3069",NULL,NULL,3950,55,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG059","EG059-1","no","Tomb 155",NULL,NULL
"KN-3168","KN-3168",NULL,NULL,4250,130,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (undetermined)",NULL,"EG059","EG059-1","no","Tomb 303",NULL,NULL
"Tx-2871","Tx-2871",NULL,NULL,2280,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"other (unspecified)",NULL,"EG147","EG147-1","unique",NULL,NULL,NULL
"H-7060-6583","H-7060-6583",NULL,NULL,3960,55,NULL,NULL,NULL,"IntCal13",NULL,NULL,"unknown",NULL,"EG157","EG157-3","yes","Layer OL-1/81 (Occupation phase III)",NULL,NULL
"H-7061-6584","H-7061-6584",NULL,NULL,4250,55,NULL,NULL,NULL,"IntCal13",NULL,NULL,"unknown",NULL,"EG157","EG157-2","yes","Layer OL-3/81 (Occupation phase II)",NULL,NULL
"Hv-13921","Hv-13921",NULL,NULL,3340,70,NULL,NULL,NULL,"IntCal13",NULL,NULL,"unknown",NULL,"EG157","EG157-4","yes","Layer WR-1 (Occupation phase IV)",NULL,NULL
"Hv-13922","Hv-13922",NULL,NULL,4585,65,NULL,NULL,NULL,"IntCal13",NULL,NULL,"unknown",NULL,"EG157","EG157-1","yes","Layer WR-4 (Occupation phase I)",NULL,NULL
"Hv-13923","Hv-13923",NULL,NULL,4160,55,NULL,NULL,NULL,"IntCal13",NULL,NULL,"unknown",NULL,"EG157","EG157-2","yes","Layer WL-1 (Occupation phase II)",NULL,NULL
"Hv-13924","Hv-13924",NULL,NULL,3835,55,NULL,NULL,NULL,"IntCal13",NULL,NULL,"unknown",NULL,"EG157","EG157-3","yes","Layer OL-1/85 (Occupation phase III)",NULL,NULL
"Hv-13925","Hv-13925",NULL,NULL,4130,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"unknown",NULL,"EG157","EG157-2","yes","Layer OL-3/85 (Occupation phase II)",NULL,NULL
"KN-3865","KN-3865",NULL,NULL,4800,140,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG158","EG158-1","no",NULL,NULL,NULL
"KN-3866","KN-3866",NULL,NULL,4830,120,NULL,NULL,NULL,"IntCal13",NULL,NULL,"bone (animal)",NULL,"EG158","EG158-1","no",NULL,NULL,NULL
"SMU-1438","SMU-1438",NULL,NULL,4173,59,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (freshwater)","Unio","EG045","EG045-2","no","St-1, SU37, 22",NULL,"The date reported in Hassan and Robinson 1987 is recalculated (4050±59 BP)"
"SMU-1440","SMU-1440",NULL,NULL,3882,200,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (freshwater)","Unio","EG045","EG045-2","no","1156S-1000E, SU28",NULL,"Close 1988 reports the date as 1820±200 BC (3770±200 BP). The date reported in Hassan and Robinson 1987 is recalculated (3796±200 BP)"
"SMU-1882","SMU-1882",NULL,NULL,4030,60,NULL,NULL,NULL,"IntCal13",NULL,NULL,"shell (freshwater)","Unio","EG045","EG045-2","no","1261S-1974E, SU17",NULL,NULL
"SMU-1627","SMU-1627",NULL,NULL,3790,90,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG045","EG045-2","no","1184S-1013E, SU13",NULL,NULL
"SMU-1569","SMU-1569",NULL,NULL,3680,340,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG045","EG045-2","no","1200S-1088E, SU17",NULL,NULL
"Teledyne I-318","Teledyne I-318",NULL,NULL,3980,130,NULL,NULL,NULL,"IntCal13",NULL,NULL,"other (unspecified)",NULL,"EG045","EG045-2","no","1983 test, SU3",NULL,"Close reports the date as 3970±130 BP"
"SMU-1552","SMU-1552",NULL,NULL,11380,240,NULL,NULL,NULL,"IntCal13",NULL,NULL,"charcoal",NULL,"EG045","EG045-1","no","St-1, SU37",NULL,"SMU 1552 was from various fragments of carbon collected in deposits near the base of the Old Kingdom wall in ST-1 and may include noncultural materials in the sand-gravel formation on which the Settlement was constructed (Wenke et al. 1988: 16)"
"VERA-2616","VERA-2616",NULL,NULL,3610,37,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seed","Poaceae","EG148","EG148-3","yes","H or N/1",NULL,NULL
"VERA-2617","VERA-2617",NULL,NULL,3433,38,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-2","yes","N/1-3 (?)",NULL,NULL
"VERA-2618","VERA-2618",NULL,NULL,3593,34,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seed","cf Lolium","EG148","EG148-3","yes","H",NULL,NULL
"VERA-2619","VERA-2619",NULL,NULL,3697,37,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seed","cf Lolium","EG148","EG148-2","yes","N/1",NULL,NULL
"VERA-2620","VERA-2620",NULL,NULL,3688,36,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seed","cf Lolium","EG148","EG148-2","yes","N/1",NULL,NULL
"VERA-2621","VERA-2621",NULL,NULL,3493,34,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-3","yes","H (?)",NULL,NULL
"VERA-2622","VERA-2622",NULL,NULL,3481,36,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-3","yes","G/1-3",NULL,NULL
"VERA-2623","VERA-2623",NULL,NULL,3466,39,NULL,NULL,"AMS","IntCal13",NULL,NULL,"grain","Triticum dicoccum","EG148","EG148-3","yes","G/1-3",NULL,NULL
"VERA-2624","VERA-2624",NULL,NULL,3530,34,NULL,NULL,"AMS","IntCal13",NULL,NULL,"grain","Hordeum vulgare","EG148","EG148-3","yes","G/1-3",NULL,NULL
"VERA-2625","VERA-2625",NULL,NULL,3467,35,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-3","yes","F",NULL,NULL
"VERA-2626","VERA-2626",NULL,NULL,3389,36,"-22.8",NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-3","yes","E/1",NULL,NULL
"VERA-2627","VERA-2627",NULL,NULL,3390,34,"-21.7",NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-3","yes","D/2",NULL,NULL
"VERA-2628","VERA-2628",NULL,NULL,3359,34,"-22.6",NULL,"AMS","IntCal13",NULL,NULL,"grain","Triticum","EG148","EG148-3","yes","D/2",NULL,NULL
"VERA-2629","VERA-2629",NULL,NULL,3384,30,"-22.1",NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-3","yes","D/3",NULL,NULL
"VERA-2630","VERA-2630",NULL,NULL,3345,31,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seed","Poaceae","EG148","EG148-4","yes","D/2-D/1",NULL,NULL
"VERA-2631","VERA-2631",NULL,NULL,3643,35,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seeds","Cerealia,cf Lolium","EG148","EG148-2","yes","M",NULL,NULL
"VERA-2632","VERA-2632",NULL,NULL,3424,31,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seed","Poaceae","EG148","EG148-4","yes","C/3",NULL,NULL
"VERA-2895","VERA-2895",NULL,NULL,3426,26,"-13.3",NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-3","yes","D/3",NULL,NULL
"VERA-2896","VERA-2896",NULL,NULL,3428,37,"-21",NULL,"AMS","IntCal13",NULL,NULL,"seed","Poaceae","EG148","EG148-3","yes","D/3",NULL,NULL
"VERA-2897","VERA-2897",NULL,NULL,3525,26,"-17",NULL,"AMS","IntCal13",NULL,NULL,"grain","Hordeum vulgare","EG148","EG148-3","yes","E/3",NULL,NULL
"VERA-2898","VERA-2898",NULL,NULL,3505,27,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-3","yes","F",NULL,NULL
"VERA-2899","VERA-2899",NULL,NULL,3591,26,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seed","Poaceae","EG148","EG148-3","yes","G/4",NULL,NULL
"VERA-2900","VERA-2900",NULL,NULL,3755,26,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seeds","cf Lolium","EG148","EG148-2","yes","N/2–3",NULL,NULL
"VERA-2901","VERA-2901",NULL,NULL,3725,30,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seeds","Poaceae","EG148","EG148-2","yes","N/2–3",NULL,NULL
"VERA-3031","VERA-3031",NULL,NULL,3414,35,"-21",NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-4","yes","C/2",NULL,NULL
"VERA-3032","VERA-3032",NULL,NULL,3314,36,"-22.9",NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-4","yes","D/1",NULL,NULL
"VERA-3033","VERA-3033",NULL,NULL,3480,28,"-22",NULL,"AMS","IntCal13",NULL,NULL,"grain","Cerealia","EG148","EG148-3","yes","D/3",NULL,NULL
"VERA-3616","VERA-3616",NULL,NULL,3337,44,"-24.5",NULL,"AMS","IntCal13",NULL,NULL,"seed","Poaceae","EG148","EG148-3","yes","D/2",NULL,NULL
"VERA-3617","VERA-3617",NULL,NULL,3422,35,"-24.4",NULL,"AMS","IntCal13",NULL,NULL,"seed","Poaceae","EG148","EG148-3","yes","E/1",NULL,NULL
"VERA-3618","VERA-3618",NULL,NULL,3436,35,"-22.8",NULL,"AMS","IntCal13",NULL,NULL,"grain","Cerealia","EG148","EG148-3","yes","E/1",NULL,NULL
"VERA-3619","VERA-3619",NULL,NULL,3396,34,"-22.9",NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-3","yes","D/3",NULL,NULL
"VERA-3620","VERA-3620",NULL,NULL,3377,33,"-23",NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-3","yes","D/3",NULL,NULL
"VERA-3621","VERA-3621",NULL,NULL,3354,26,"-22",NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-3","yes","D/2",NULL,NULL
"VERA-3622","VERA-3622",NULL,NULL,3394,36,"-21",NULL,"AMS","IntCal13",NULL,NULL,"seed","Poaceae","EG148","EG148-3","yes","D/2",NULL,NULL
"VERA-3623","VERA-3623",NULL,NULL,3356,23,NULL,NULL,"AMS","IntCal13",NULL,NULL,"seed","Lolium","EG148","EG148-4","yes","D/2-D/1",NULL,NULL
